date,airline,rating,content
2025-08-06,American Airlines,1,"I usually fly United, and in the future they'll be getting all my business. American cancelled our flight two and half hours before it was supposed to take off. Our flight from MSP was delayed a little due to weather, and we were told our connections would probably be delayed as well, but we had a 3 hour layover in Dallas-Fort Worth so we figured we'd be fine even if it wasn't delayed. But while we were en route to Texas they completely cancelled it. By the time we landed there was only one flight available and that one was in the middle of their final boarding. We ran as fast as we could but it was in another terminal so we were very screwed. The gate agents we talked to were rude, ignoring people and offering a bare minimum of help. The first desk never asked what we needed, just walked the people before us off to the helpdesk to rebook and left us standing there. We ran around to a lot of different desks and I asked one of them if there were any later flights to Knoxville. She said ""oh yes there's one at this gate over here"" and when I told her no, that one was cancelled, she looked surprised, said they were always the last to know, and started packing up to leave! No offer of help until I asked again if there were any later flights and she pointed me to yet another desk. The gate agent there was one we'd already seen and she was annoyed when I asked her where to go to rebook because she'd already pointed those other customers there earlier in my hearing. I'm sorry I couldn't remember! You didn't care enough to ask what I needed the first time I was at your desk! We finally found the helpdesk and those agents were the only helpful American employees we met the entire time. They actually cared. The airline kept telling them to clock out while they still had a line of 40 people waiting, and the helpdesk agents were not happy about it. One of them (I wish I remembered her name, she deserves a raise) came back to keep working and I think she might have done it without any overtime pay. From what I heard, there were people having to rebook cancelled flights going all over the country. There could not possibly have been weather everywhere in the U.S. I think American just felt like cancelling. What sense did it make to cancel the later flight to Knoxville two and a half hours early and leave the earlier one alone if there was bad weather? Why didn't they wait to see if it cleared up?  I also mention, the gate agent we asked directions of at Spirit Airlines was so much friendlier. The budget airlines are beating you. Get it together or go broke, American. You will not be getting any more of my business."
2025-08-05,American Airlines,2,"Was flying with my 87 wheelchair bound mother to attend her last siblings funeral. We landed in Dallas and told our connecting flight was delayed due to mechanical issues. After additional delays we were told NO FLIGHTS out until the next day. We stood in line for over an hour to obtain a voucher for a hotel and the extremely rude agent told us they were ALL OUT? My mother slept on a bench in the airport. The next morning we were one of the first people in line to get re-booked to get to El Paso. They didn't have any seats available so they re-routed us to Albuquerque, New Mexico where we had to rent a car and drive several hours to get to El Paso (car rental was over $300 PLUS we had to pay for the night we missed at our hotel in El Paso) When we arrived in New Mexico our luggage was no where to be found! After our return home I reached out to American Airlines and was offered miles on both our accounts - seriously where do they think my mother is traveling to again any time soon?! It wasn't until I posted a review on Trip Advisor that I received a phone call from the airlines customer relations department saying ""this is their final offer and it's the best they could do"" The airlines ""graciously"" offered us $75 airline credit to be used in one years time - AGAIN, where is my elderly mother going to be flying to?!!! While ALL this has occurred my sister has a flight in DECEMBER that DELTA airlines had to change her time and without asking they offered her miles on her account for any inconvenience that this may cause. NOW THAT'S CUSTOMER SERVICE AT IT'S BEST! American Airlines should be ashamed the way they treated all of us on that scheduled flight but the fact that they had my 87 year old wheelchair bound mother sleep on a bench and then offer us $75 compensation is beyond insulting. This airlines has been in the news for negative customer service for quite a while - My advice is avoid American Airlines at all costs if it is possible. The lack of friendly, compassionate staff it lacking, Customer service is not part of their mission at all!"
2025-08-05,American Airlines,1,"Our flight was canceled 4 hours before our trip. We were re-charged for seats on our next flight. We petitioned for a refund and were denied. This is the message I sent them.  Your representative called me the night they canceled the flight and then gave me only options that charged more for seats. The agent told me I would get a refund for all three charges, then did nothing. I called week later and another representative told me I would get a refund for all three seats. I got one for one vs three. I called back another week later. This time your representative told me they couldnt help me and the request can only be made online. Not your company will not honor the other two refunds."
2025-08-04,American Airlines,2,"Horrible experience traveling with my 87 year-old wheelchair bound mother. We had a two legged flight and our second leg got delayed twice and eventually canceled. We were unable to obtain hotel vouchers because the agent said she simply ran out when I explained my mother is in a wheelchair and elderly she said that the couches are very comfortable. The next morning we got rerouted to Albuquerque New Mexico and we were forced to rent a car and drive 4 1/2 hours to get to El Paso so that my mother can attend her last siblings funeral. However, our luggage wasn’t with us. The airline managed to lose it for a couple of days after our flight was completed I contacted the airlines and was offered some extra mileage in our account for future travel. When I explained my mother‘s age and all of her ailments and said chances are she probably won’t ever be on an airplane again the response I got was no worries. The miles don’t expire"
2025-08-04,American Airlines,1,"My recent experience with American Airlines was nothing short of a complete disaster. What started as a simple flight from Mexico into Dallas turned into a multi-day ordeal of missed connections, unprofessional staff, and zero solutions. After an hour-long TSA line in Dallas, I missed my connecting flight home. American Airlines rebooked me on a 5 AM flight the next day and put me up in a hotel. Arriving at the airport at 3 AM, we boarded the flight only to be told the captain hadn't shown up! After a delay, a new captain was found, but then they discovered ""break fuel"" on the ground, leading to another cancellation. Rebooked again, the customer service agent suggested a flight to Chicago to catch my original connection – which I missed AGAIN! Stuck in Chicago, I was put on standby, but American Airlines had overbooked every flight, even paying passengers to give up their seats. Now, on my second unexpected hotel stay, all I can say is this entire mess was avoidable and entirely American Airlines' fault. Not once did I receive an apology or a guaranteed solution. The customer service agents in Dallas were incredibly rude, even telling my teen daughter to ""fix her face."" I will never fly American Airlines again, and neither should you if you value getting home."
2025-07-31,American Airlines,1,"Horrible service people, ladies at stands gave attitude and were making fun of me for having headphones on. Tried telling me I’m on the wrong flight even though my flight was correct and proceeded to give more attitude when I tried showing them I’m right. Then the male scanning tickets was rude and gave attitude when I scanned my ticket when I scanned when asked to. Overall horrible experience due to the workers for the airlines I would not recommend flying with them."
2025-07-31,American Airlines,1,"I had a horrific experience with United. I will avoid them at all costs in the future. It started with a flight that was slated to leave at 2:45PM. I got a text informing me that it was delayed until 6 hours initially (eventually delayed 10+ hours). Upon discovering that the flight was delayed around 1PM, I tried rebooking my flight to another airline. However, the customer service representative at United told me that there was a ""50/50 chance that they will take your checked bag off the plane because it's hot outside."" Basically holding my bag hostage so I couldn't change flights to another airline. After a few additional delays, I eventually cancelled my flight 6 hours before the flight time and asked for my checked bag back. They promised I could get my bag back but low and behold, they sent my bag to San Fransisco anyways. This is hot off the tail of me spending 8+ hours at the airport trying to find an alternative flight or get my checked bag back. It then took me multiple calls across 3 days to beg for my checked bag back in which the customer service team basically told me they had ""no power to help me"" and just to check my bag status on a website (which showed a timeline they missed and couldn't even stick to). It's now 11PM on the third day and my bag ""may or may not arrive today"". This is far and away the worst airline I have ever dealt with. I have missed work obligations due to this whole situation and I deeply regret choosing United. I would NOT recommend united if you can avoid it."
2025-07-31,American Airlines,10,"Since they are trashed so much, I feel motivated to write this. American delivered a solid product on this flight. Extra special kudos go to the flight attendant (sorry lost her name) who, by herself served 20 people drinks dinner and ice cream sundaes graciously and efficiently. Watching her determined and extremely pleasant work was a pleasure.The food, seats, and entertainment were all fine for 5 hours of flying. On time arrival made it a perfect trip except for the frightening ICE agents who “greeted” our arrival."
2025-07-30,American Airlines,3,"This airline is incredibly inefficient and unaccommodating. We flew to a destination with a dog in carrier without issue on a different airline. However, when flying home, American highlighted that they have a strict dog carrier size policy. They are an anomaly compared with other airlines. They have different measurements from Delta, Southwest, and other major airlines. After about 20 minutes of negotiating, they finally let us go. We took pictures, and the dog carrier fit under the seat with plenty of room. American Airlines should really revisit this. American also does a lot outdated admin. They use pen and paper quite a bit and are not technologically up to date. They have even bounced passengers off of planes simply for checking to see if there's room on a different flight."
2025-07-30,American Airlines,1,"I was not informed that my flight was canceled. I waited at the gate for over four hours before discovering the cancellation. Had I known earlier, I could have made alternate arrangements. When I called customer support, the best they could offer was a flight two days later. They would not disclose the amount of refund I would be entitled to or the reason for the cancellation, and informed me that I needed to contact customer relations for any additional compensation. They explained that I would have to go to the in-person customer line to inquire about the status of my baggage. After waiting in the in-person line for 30 minutes, I was told to go to baggage claim for information about my bag. At baggage claim, I learned that my bag had been expedited to a flight the following day. I spent the next 11 hours making my way home via train at a personal expense of $250. There is no excuse for putting customers through these hardships. Information regarding the reason for the cancellation, entitlement to a refund, and the status of bags is purposefully obscured. This information should be readily available on the app or at least over the phone. Why should I have to call and wait in two lines to gather this information in a piecemeal fashion?"
